Profile Spec,Is Active,Notes,Lens Spec (Compatible Lenses)
CH-CA02-WH,1,,LNS-CAXX-WH-BK
,,,LNS-CAXX-WH-CL
,,,LNS-CAXX-WH-FR
,,,LNS-CAXX-WH-WH
CH-CA02-BK,1,,LNS-CAXX-WH-BK
,,,LNS-CAXX-WH-CL
,,,LNS-CAXX-WH-FR
,,,LNS-CAXX-WH-WH
CH-CA02-SV,1,,LNS-CAXX-WH-BK
,,,LNS-CAXX-WH-CL
,,,LNS-CAXX-WH-FR
,,,LNS-CAXX-WH-WH
CH-CA01-WH,1,,LNS-CAXX-WH-BK
,,,LNS-CAXX-WH-CL
,,,LNS-CAXX-WH-FR
,,,LNS-CAXX-WH-WH
CH-CA01-BK,1,,LNS-CAXX-WH-BK
,,,LNS-CAXX-WH-CL
,,,LNS-CAXX-WH-FR
,,,LNS-CAXX-WH-WH
CH-CA01-SV,1,,LNS-CAXX-WH-BK
,,,LNS-CAXX-WH-CL
,,,LNS-CAXX-WH-FR
,,,LNS-CAXX-WH-WH
