Item Code,Item Group,Default Unit of Measure,Item Name,Maintain Stock,Has Variants,Brand,Warranty Period (in days),Variant Of,Variant Based On,Attribute (Variant Attributes),Supplier (Supplier Items),Supplier Description (Supplier Items),Supplier Part Number (Supplier Items)
CH-SE01,Profiles,Ea,Sentinel [SF]-Profile,1,1,ilLumenate Lighting,1825,,Item Attribute,Finish,"Linea Lighting Co., Limited",,
CH-SE02,Profiles,Ea,Sentinel [RC]-Profile,1,1,ilLumenate Lighting,1825,,Item Attribute,Finish,"Linea Lighting Co., Limited",,
LNS-SEXX,Lenses,Ea,Sentinel Series-Lens,1,1,ilLumenate Lighting,1825,,Item Attribute,Lens Style,"Linea Lighting Co., Limited",,
,,,,,,,,,,Lens Color,,,
ACC-SE01-MC,Mounting,Ea,Sentinel Series-Mounting Clip,1,0,ilLumenate Lighting,1825,,,,"Linea Lighting Co., Limited",,
ACC-SE01-SP,Mounting,Ea,Sentinel Series-Mounting Clip,1,0,ilLumenate Lighting,1825,,,,"Linea Lighting Co., Limited",,
ACC-SE01-JOIN-T,Profile Accessories,Ea,Sentinel Series-T Connector,1,0,ilLumenate Lighting,1825,,,,"Linea Lighting Co., Limited",,
ACC-SE01-JOIN-X,Profile Accessories,Ea,Sentinel Series-X Connector,1,0,ilLumenate Lighting,1825,,,,"Linea Lighting Co., Limited",,
ACC-SE01-JOIN-V,Profile Accessories,Ea,Sentinel Series-90° Vertical Connector,1,0,ilLumenate Lighting,1825,,,,"Linea Lighting Co., Limited",,
ACC-SE02-JOIN-T,Profile Accessories,Ea,Sentinel Series-T Connector,1,0,ilLumenate Lighting,1825,,,,"Linea Lighting Co., Limited",,
ACC-SE02-JOIN-X,Profile Accessories,Ea,Sentinel Series-X Connector,1,0,ilLumenate Lighting,1825,,,,"Linea Lighting Co., Limited",,
ACC-SE02-JOIN-T,Profile Accessories,Ea,Sentinel Series-T Connector,1,0,ilLumenate Lighting,1825,,,,"Linea Lighting Co., Limited",,
ACC-SE02-SG,Mounting,Ea,Sentinel Series-Spring Clip,1,0,ilLumenate Lighting,1825,,,,"Linea Lighting Co., Limited",,
EC-SE01,Endcaps,Ea,Sentinel [SF]-Endcaps,1,1,ilLumenate Lighting,1825,,Item Attribute,Endcap Color,"Linea Lighting Co., Limited",,
,,,,,,,,,,Endcap Type,,,
EC-SE02,Endcaps,Ea,Sentinel [RC]-Endcaps,1,1,ilLumenate Lighting,1825,,Item Attribute,Endcap Color,"Linea Lighting Co., Limited",,
,,,,,,,,,,Endcap Type,,,
