Profile Spec,Is Active,Notes,Lens Spec (Compatible Lenses)
CH-SE01-WH,1,,LNS-SEXX-WH-WH
,,,LNS-SEXX-WH-FR
,,,LNS-SEXX-WH-CL
,,,LNS-SEXX-WH-BK
CH-SE01-BK,1,,LNS-SEXX-WH-WH
,,,LNS-SEXX-WH-FR
,,,LNS-SEXX-WH-CL
,,,LNS-SEXX-WH-BK
CH-SE01-SV,1,,LNS-SEXX-WH-WH
,,,LNS-SEXX-WH-FR
,,,LNS-SEXX-WH-CL
,,,LNS-SEXX-WH-BK
CH-SE02-WH,1,,LNS-SEXX-WH-WH
,,,LNS-SEXX-WH-FR
,,,LNS-SEXX-WH-CL
,,,LNS-SEXX-WH-BK
CH-SE02-BK,1,,LNS-SEXX-WH-WH
,,,LNS-SEXX-WH-FR
,,,LNS-SEXX-WH-CL
,,,LNS-SEXX-WH-BK
CH-SE02-SV,1,,LNS-SEXX-WH-WH
,,,LNS-SEXX-WH-FR
,,,LNS-SEXX-WH-CL
,,,LNS-SEXX-WH-BK
