Fixture Template,PDF Field Name,Source DocType,Source Field,Prefix,Suffix,Transformation,Webflow Field,Webflow Prefix/Suffix,Webflow Prefix,Webflow Suffix
ILL-SE01-FS,form,ilL-Configured-Fixture,sku_driver_form_code,,,,,,,
ILL-SE01-FS,maxwattoutput,ilL-Configured-Fixture,sku_driver_wattage_output_code,,,,,,,
ILL-SE01-FS,control,ilL-Configured-Fixture,sku_driver_control_code,,,,,,,
ILL-SE01-FS,endlength,ilL-Configured-Fixture,__end_length_indicator,,,MM_TO_INCHES,end_feed_length_ft,,,
ILL-SE01-FS,startlength,ilL-Configured-Fixture,__start_leader_cable_len_mm,,,MM_TO_INCHES,start_feed_length_ft,,,
ILL-SE01-FS,starttype,ilL-Configured-Fixture,sku_power_feed_code,,,,start_feed_direction,,,
ILL-SE01-FS,outputcode,ilL-Configured-Fixture,sku_fixture_output_code,,,,,,,
ILL-SE01-FS,mountingcode,ilL-Configured-Fixture,sku_mounting_code,,,,,,,
ILL-SE01-FS,lenscode,ilL-Configured-Fixture,sku_lens_code,,,,,,,
ILL-SE01-FS,length,ilL-Configured-Fixture,requested_overall_length_mm,,,MM_TO_INCHES,,,,
ILL-SE01-FS,finishcode,ilL-Configured-Fixture,sku_finish_code,,,,,,,
ILL-SE01-FS,endtype,ilL-Configured-Fixture,sku_feed_direction_end_code,,,,end_feed_direction,,,
ILL-SE01-FS,cctcode,ilL-Configured-Fixture,sku_cct_code,,,,,,,
ILL-SE01-FS,drywetcode,ilL-Configured-Fixture,sku_environment_code,,,,,,,
ILL-SE01-FS,project_location,ilL-Project,location,,,,project_location,,,
ILL-SE01-FS,fixture_type,ilL-Child-Fixture-Schedule-Line,line_id,,,,,,,
ILL-SE01-FS,project_name,ilL-Project,project_name,,,,project_name,,,
ILL-SE01-FS,productioninterval,ilL-Spec-LED Tape,cut_increment_mm,,"""""",MM_TO_INCHES,,,,
ILL-SE01-FS,dims,ilL-Spec-Profile,dimensions,,,,,,,
