Tape Neon Template,PDF Field Name,Source DocType,Source Field,Prefix,Suffix,Transformation,Webflow Field,Webflow Prefix/Suffix,Webflow Prefix,Webflow Suffix
non-pnc-cc,form,ilL-Configured-Tape-Neon,part_number,,,,,,,
non-pnc-cc,cctcode,ilL-Configured-Tape-Neon,cct,,,,,,,
non-pnc-cc,outputcode,ilL-Configured-Tape-Neon,output_level,,,,,,,
non-pnc-cc,length,ilL-Configured-Tape-Neon,requested_length_mm,,,MM_TO_INCHES,,,,
non-pnc-cc,drywetcode,ilL-Configured-Tape-Neon,environment_rating,,,,,,,
non-pnc-cc,wattage,ilL-Configured-Tape-Neon,total_watts,,W,,,,,
non-pnc-cc,output,ilL-Configured-Tape-Neon,watts_per_foot,,W/ft,,,,,
non-pnc-cc,productioninterval,ilL-Spec-LED Tape,cut_increment_mm,,"""""",MM_TO_INCHES,,,,
non-pnc-cc,cri,ilL-Rel-Tape Offering,cri,,,,,,,
non-pnc-cc,cct,ilL-Rel-Tape Offering,cct,,,,,,,
non-pnc-cc,inputvoltage,ilL-Spec-LED Tape,input_voltage,,,,,,,
non-pnc-cc,dimming,ilL-Spec-LED Tape,dimming_protocols,,,,,,,
non-pnc-cc,project_name,ilL-Project,project_name,,,,project_name,,,
non-pnc-cc,project_location,ilL-Project,location,,,,project_location,,,
non-pnc-cc,fixture_type,ilL-Child-Fixture-Schedule-Line,line_id,,,,,,,
non-pnc-cc,feeddir,ilL-Configured-Tape-Neon,feed_direction,,,,,,,
non-pnc-cc,feedtype,ilL-Configured-Tape-Neon,feed_type,,,,,,,
